0,1074
1,3283
2,24
3,41
4,3472
5,1224
6,2651
7,2539
8,4660
9,1066
10,2982
11,3752
12,4296
13,2285
14,812
15,969
16,331
17,1598
18,2054
19,3161
20,4913
21,604
22,4096
23,3023
24,843
25,1819
26,4717
27,4618
28,3919
29,4460
30,664
31,1973
32,3545
33,4954
34,4607
35,3307
36,2737
37,3992
38,1379
39,2009
40,1355
41,1357
42,3774
43,4773
44,3927
45,2446
46,3711
47,3564
48,1460
49,2224
50,4965
51,4982
52,3420
53,2691
54,2875
55,941
56,1484
57,1884
58,3967
59,3704
60,1611
61,3017
62,929
63,3389
64,512
65,2435
66,2732
67,1524
68,2077
69,367
70,3438
71,1951
72,2901
73,4125
74,1172
75,1182
76,3357
77,3316
78,2736
79,2338
80,3873
81,1704
82,391
83,588
84,3150
85,390
86,2888
87,1587
88,83
89,3766
90,2847
91,1539
92,2185
93,3386
94,2053
95,2773
96,3312
97,3687
98,2002
99,412
100,1959
101,1778
102,1580
103,2367
104,2832
105,2137
106,3036
107,3710
108,4267
109,952
110,2698
111,3376
112,2798
113,1686
114,974
115,2746
116,1415
117,3669
118,1621
119,2593
120,400
121,285
122,3776
123,4137
124,4875
125,143
126,1500
127,2935
128,954
129,657
130,4393
131,3076
132,4760
133,4427
134,4644
135,4573
136,4495
137,556
138,53
139,4915
140,2120
141,1398
142,2898
143,3969
144,2635
145,1637
146,36
147,2363
148,1389
149,1025
150,790
151,1394
152,2957
153,3721
154,121
155,1331
156,3591
157,1107
158,3237
159,2240
160,3033
161,2118
162,4066
163,2921
164,4878
165,1073
166,2621
167,574
168,3049
169,830
170,1423
171,4061
172,4488
173,1028
174,1572
175,3469
176,1964
177,2819
178,683
179,4022
180,457
181,3013
182,2360
183,684
184,4889
185,1307
186,1205
187,489
188,3802
189,1592
190,2727
191,3780
192,4276
193,3423
194,3521
195,3448
196,4197
197,1998
198,1511
199,1477
200,2278
201,2658
202,4489
203,2562
204,2127
205,3945
206,4561
207,2843
208,2877
209,434
210,858
211,3331
212,3640
213,4849
214,4171
215,3579
216,4904
217,171
218,2065
219,2858
220,71
221,4733
222,3354
223,2643
224,2255
225,375
226,2540
227,4283
228,3982
229,4955
230,4202
231,2481
232,4178
233,3382
234,2393
235,1701
236,3610
237,4358
238,4858
239,310
240,2669
